Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude,Temp_Mean_lag1,Temp_Mean_lag2,Temp_Mean_lag3,Temp_Mean_lag4,Rain_Sum_lag1,Rain_Sum_lag2,Rain_Sum_lag3,Rain_Sum_lag4,Humidity_Proxy_lag1,Humidity_Proxy_lag2,Humidity_Proxy_lag3,Humidity_Proxy_lag4,Rain_roll3,Temp_roll3,Month_sin,Month_cos,Cases_log,Risk_Label
North central,Anuradhapura,9,8,2020,2020-08-01,Puttalam,29.351612903225806,25.87741935483871,27.3,94.5,94.5,4.142258064516129,20.01935483870968,8.0,79.80002,27.461290322580645,27.936666666666667,28.451612903225808,28.896666666666665,136.6,134.2,172.5,92.7,3.7638709677419353,4.01,3.850322580645161,4.831333333333333,121.76666666666665,27.56598566308244,-0.8660254037844385,-0.5000000000000004,2.302585092994046,0
North central,Anuradhapura,12,9,2020,2020-09-01,Puttalam,28.563333333333333,25.33333333333333,26.74,212.5,212.5,3.3593333333333333,19.790000000000003,8.0,79.80002,27.3,27.461290322580645,27.936666666666667,28.451612903225808,94.5,136.6,134.2,172.5,4.142258064516129,3.7638709677419353,4.01,3.850322580645161,147.86666666666667,27.16709677419355,-1.0,-1.8369701987210297e-16,2.5649493574615367,0
North central,Anuradhapura,11,10,2020,2020-10-01,Puttalam,29.270967741935483,25.76129032258065,27.248387096774195,62.0,62.0,4.097096774193548,18.23548387096774,8.0,79.80002,26.74,27.3,27.461290322580645,27.936666666666667,212.5,94.5,136.6,134.2,3.3593333333333333,4.142258064516129,3.7638709677419353,4.01,123.0,27.096129032258062,-0.8660254037844386,0.5000000000000001,2.4849066497880004,0
North central,Anuradhapura,6,11,2020,2020-11-01,Puttalam,29.47,24.68,26.66,231.0,231.0,3.406333333333333,12.773333333333332,8.0,79.80002,27.248387096774195,26.74,27.3,27.461290322580645,62.0,212.5,94.5,136.6,4.097096774193548,3.3593333333333333,4.142258064516129,3.7638709677419353,168.5,26.882795698924735,-0.5000000000000004,0.8660254037844384,1.9459101490553132,0
North central,Anuradhapura,10,12,2020,2020-12-01,Puttalam,28.19032258064516,23.82903225806452,25.69677419354839,212.9,212.9,3.13483870967742,15.229032258064516,8.0,79.80002,26.66,27.248387096774195,26.74,27.3,231.0,62.0,212.5,94.5,3.406333333333333,4.097096774193548,3.3593333333333333,4.142258064516129,168.63333333333333,26.53505376344086,-2.4492935982947064e-16,1.0,2.3978952727983707,0
North central,Anuradhapura,14,1,2021,2021-01-01,Puttalam,28.529032258064515,23.59354838709677,25.68064516129032,184.3,184.3,3.30258064516129,14.606451612903228,8.0,79.80002,25.69677419354839,26.66,27.248387096774195,26.74,212.9,231.0,62.0,212.5,3.13483870967742,3.406333333333333,4.097096774193548,3.3593333333333333,209.4,26.01247311827957,0.49999999999999994,0.8660254037844387,2.70805020110221,0
North central,Anuradhapura,18,2,2021,2021-02-01,Puttalam,29.75714285714286,23.12857142857143,26.064285714285717,9.4,9.4,4.758571428571429,16.357142857142858,8.0,79.80002,25.68064516129032,25.69677419354839,26.66,27.248387096774195,184.3,212.9,231.0,62.0,3.30258064516129,3.13483870967742,3.406333333333333,4.097096774193548,135.53333333333333,25.813901689708143,0.8660254037844386,0.5000000000000001,2.9444389791664403,0
North central,Anuradhapura,27,3,2021,2021-03-01,Puttalam,31.654838709677417,24.583870967741937,27.62903225806452,79.3,79.3,4.764193548387096,12.638709677419357,8.0,79.80002,26.064285714285717,25.68064516129032,25.69677419354839,26.66,9.4,184.3,212.9,231.0,4.758571428571429,3.30258064516129,3.13483870967742,3.406333333333333,91.0,26.45798771121352,1.0,6.123233995736766e-17,3.332204510175204,0
North central,Anuradhapura,42,4,2021,2021-04-01,Puttalam,30.576666666666664,25.74,27.80333333333333,103.5,103.5,4.3886666666666665,13.54,8.0,79.80002,27.62903225806452,26.064285714285717,25.68064516129032,25.69677419354839,79.3,9.4,184.3,212.9,4.764193548387096,4.758571428571429,3.30258064516129,3.13483870967742,64.06666666666666,27.165550435227857,0.8660254037844387,-0.4999999999999998,3.7612001156935624,0
North central,Anuradhapura,17,5,2021,2021-05-01,Puttalam,29.81935483870968,26.006451612903227,27.55806451612903,279.9,279.9,3.693870967741935,16.170967741935485,8.0,79.80002,27.80333333333333,27.62903225806452,26.064285714285717,25.68064516129032,103.5,79.3,9.4,184.3,4.3886666666666665,4.764193548387096,4.758571428571429,3.30258064516129,154.23333333333332,27.66347670250896,0.49999999999999994,-0.8660254037844387,2.8903717578961645,0
