Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude
Eastern,Ampara,81,12,2019,2019-12-01,Kalmunai,27.51290322580645,24.70967741935484,26.0,291.1,291.1,2.9561290322580644,16.97741935483871,7.4000015,81.80002
Eastern,Batticaloa,191,1,2019,2019-01-01,Kalmunai,27.19677419354839,24.12258064516129,25.65806451612903,63.9,63.9,3.7600000000000002,20.806451612903224,7.4000015,81.80002
Eastern,Batticaloa,195,2,2019,2019-02-01,Kalmunai,28.153571428571432,24.614285714285717,26.37857142857143,103.8,103.8,3.8003571428571425,16.975,7.4000015,81.80002
Eastern,Batticaloa,218,3,2019,2019-03-01,Kalmunai,30.0,24.970967741935485,27.529032258064515,26.8,26.8,5.050000000000001,15.764516129032257,7.4000015,81.80002
Eastern,Batticaloa,128,4,2019,2019-04-01,Kalmunai,31.793333333333333,26.256666666666668,28.92,37.0,37.0,5.069333333333334,15.483333333333333,7.4000015,81.80002
Eastern,Batticaloa,101,5,2019,2019-05-01,Kalmunai,33.45161290322581,27.299999999999997,30.138709677419353,13.5,13.5,5.522258064516129,17.461290322580645,7.4000015,81.80002
Eastern,Batticaloa,74,6,2019,2019-06-01,Kalmunai,34.47666666666667,27.343333333333337,30.553333333333335,12.5,12.5,5.368333333333334,15.18,7.4000015,81.80002
Eastern,Batticaloa,84,7,2019,2019-07-01,Kalmunai,33.84838709677419,26.951612903225808,29.958064516129035,18.2,18.2,5.518387096774194,17.729032258064517,7.4000015,81.80002
Eastern,Batticaloa,96,8,2019,2019-08-01,Kalmunai,32.81290322580645,26.270967741935483,28.958064516129035,62.8,62.8,4.862903225806452,16.14516129032258,7.4000015,81.80002
Eastern,Batticaloa,66,9,2019,2019-09-01,Kalmunai,31.603333333333335,25.77,28.16,119.9,119.9,4.807666666666666,16.75,7.4000015,81.80002
Eastern,Batticaloa,164,10,2019,2019-10-01,Kalmunai,28.774193548387096,24.85483870967742,26.529032258064515,349.8,349.8,3.3680645161290323,14.55483870967742,7.4000015,81.80002
Eastern,Batticaloa,511,11,2019,2019-11-01,Kalmunai,28.65666666666667,24.613333333333333,26.526666666666664,252.39999999999998,252.39999999999998,3.4856666666666665,14.33,7.4000015,81.80002
Eastern,Batticaloa,1020,12,2019,2019-12-01,Kalmunai,27.51290322580645,24.70967741935484,26.0,291.1,291.1,2.9561290322580644,16.97741935483871,7.4000015,81.80002
Eastern,Kalmunai,107,1,2019,2019-01-01,Kalmunai,27.19677419354839,24.12258064516129,25.65806451612903,63.9,63.9,3.7600000000000002,20.806451612903224,7.4000015,81.80002
Eastern,Kalmunai,94,2,2019,2019-02-01,Kalmunai,28.153571428571432,24.614285714285717,26.37857142857143,103.8,103.8,3.8003571428571425,16.975,7.4000015,81.80002
Eastern,Kalmunai,115,3,2019,2019-03-01,Kalmunai,30.0,24.970967741935485,27.529032258064515,26.8,26.8,5.050000000000001,15.764516129032257,7.4000015,81.80002
Eastern,Kalmunai,92,4,2019,2019-04-01,Kalmunai,31.793333333333333,26.256666666666668,28.92,37.0,37.0,5.069333333333334,15.483333333333333,7.4000015,81.80002
Eastern,Kalmunai,67,5,2019,2019-05-01,Kalmunai,33.45161290322581,27.299999999999997,30.138709677419353,13.5,13.5,5.522258064516129,17.461290322580645,7.4000015,81.80002
Eastern,Kalmunai,48,6,2019,2019-06-01,Kalmunai,34.47666666666667,27.343333333333337,30.553333333333335,12.5,12.5,5.368333333333334,15.18,7.4000015,81.80002
Eastern,Kalmunai,29,7,2019,2019-07-01,Kalmunai,33.84838709677419,26.951612903225808,29.958064516129035,18.2,18.2,5.518387096774194,17.729032258064517,7.4000015,81.80002
Eastern,Kalmunai,33,8,2019,2019-08-01,Kalmunai,32.81290322580645,26.270967741935483,28.958064516129035,62.8,62.8,4.862903225806452,16.14516129032258,7.4000015,81.80002
Eastern,Kalmunai,29,9,2019,2019-09-01,Kalmunai,31.603333333333335,25.77,28.16,119.9,119.9,4.807666666666666,16.75,7.4000015,81.80002
Eastern,Kalmunai,46,10,2019,2019-10-01,Kalmunai,28.774193548387096,24.85483870967742,26.529032258064515,349.8,349.8,3.3680645161290323,14.55483870967742,7.4000015,81.80002
Eastern,Kalmunai,372,11,2019,2019-11-01,Kalmunai,28.65666666666667,24.613333333333333,26.526666666666664,252.39999999999998,252.39999999999998,3.4856666666666665,14.33,7.4000015,81.80002
Eastern,Kalmunai,497,12,2019,2019-12-01,Kalmunai,27.51290322580645,24.70967741935484,26.0,291.1,291.1,2.9561290322580644,16.97741935483871,7.4000015,81.80002
Eastern,Trincomalee,157,1,2019,2019-01-01,Trincomalee,27.07741935483871,24.238709677419354,25.5258064516129,20.0,20.0,4.195483870967742,21.148387096774194,8.599998,81.20001
Eastern,Trincomalee,106,2,2019,2019-02-01,Trincomalee,28.20357142857143,24.889285714285712,26.442857142857143,69.4,69.4,4.173571428571429,18.864285714285717,8.599998,81.20001
Eastern,Trincomalee,164,3,2019,2019-03-01,Trincomalee,30.729032258064517,25.606451612903225,27.906451612903226,10.8,10.8,5.457741935483871,17.13225806451613,8.599998,81.20001
Eastern,Trincomalee,148,4,2019,2019-04-01,Trincomalee,32.556666666666665,26.64333333333333,29.253333333333334,13.0,13.0,5.469666666666667,17.813333333333333,8.599998,81.20001
